Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
396,0.044513984,0.042244294,0.047647101,0.258347811,0.051594444
397,0.04366791,0.045318457,0.046565901,0.259919726,0.051356367
398,0.04417178,0.044526219,0.047114236,0.259078542,0.050417708
399,0.044923944,0.045289598,0.046557777,0.260434971,0.050847034
400,0.044612865,0.043558752,0.046845084,0.25907895,0.051068967
401,0.045718066,0.04432178,0.046954137,0.258870748,0.050716288
402,0.044058215,0.041287081,0.047844906,0.258715673,0.050054208
403,0.045789101,0.042169192,0.047114252,0.258909568,0.049412708
404,0.04587183,0.047976932,0.047806719,0.258553752,0.050980271
405,0.045672881,0.04635757,0.047993566,0.258619561,0.049479044
406,0.045492112,0.045448145,0.047111612,0.258964364,0.050808006
407,0.04667683,0.043942176,0.048765259,0.259019173,0.051660793
408,0.046699431,0.046365139,0.048405672,0.259224279,0.053636026
409,0.045963425,0.044175785,0.048634027,0.259153913,0.052997553
410,0.044513088,0.044351377,0.047346199,0.259643623,0.053951816
411,0.044278327,0.045652532,0.048308548,0.259437071,0.054185984
412,0.045308396,0.045181919,0.047770933,0.259957093,0.053233314
413,0.044730275,0.0442634,0.047500107,0.258861616,0.050495763
414,0.045619796,0.042630888,0.047428647,0.258943567,0.051898435
415,0.044953281,0.045272921,0.046802133,0.258817395,0.051304913
416,0.044442652,0.042280715,0.04756333,0.258800791,0.050302581
417,0.046024747,0.045969598,0.047675968,0.259612901,0.052302827
418,0.044847636,0.04269028,0.046919049,0.258856831,0.051689888
419,0.045437225,0.045227048,0.04764446,0.259153899,0.051329038
420,0.044090508,0.044973338,0.047570487,0.259056138,0.051437962
421,0.044991742,0.045356372,0.047668087,0.258448298,0.051151461
422,0.044938293,0.037620247,0.046801603,0.258811629,0.048917038
423,0.045563715,0.044097284,0.046888034,0.25900216,0.051656182
424,0.044187351,0.043797678,0.046969157,0.258427129,0.050015175
